Year,Month,DepartmentID,Account,BudgetAmount
2022,1,1,Gross Written Premium,237892
2022,1,1,Net Earned Premium,385172
2022,1,1,Reinsurance Recoveries,44178
2022,1,1,Investment Income,299965
2022,1,1,Commission Income,21999
2022,1,1,Claims Paid,305856
2022,1,1,Claims Incurred,200623
2022,1,1,Loss Adjustment Expenses,176244
2022,1,1,Staff Costs,300866
2022,1,1,IT Expenses,277769
2022,1,1,Marketing,203237
2022,1,1,Office Costs,11859
2022,1,1,Depreciation,115986
2022,1,1,Professional Services,237654
2022,1,2,Gross Written Premium,288983
2022,1,2,Net Earned Premium,294360
2022,1,2,Reinsurance Recoveries,320097
2022,1,2,Investment Income,54522
2022,1,2,Commission Income,235233
2022,1,2,Claims Paid,378393
2022,1,2,Claims Incurred,12485
2022,1,2,Loss Adjustment Expenses,248056
2022,1,2,Staff Costs,117701
2022,1,2,IT Expenses,212352
2022,1,2,Marketing,107638
2022,1,2,Office Costs,189514
2022,1,2,Depreciation,279370
2022,1,2,Professional Services,98405
2022,1,3,Gross Written Premium,289732
2022,1,3,Net Earned Premium,215048
2022,1,3,Reinsurance Recoveries,167781
2022,1,3,Investment Income,42019
2022,1,3,Commission Income,266497
2022,1,3,Claims Paid,70133
2022,1,3,Claims Incurred,381588
2022,1,3,Loss Adjustment Expenses,202530
2022,1,3,Staff Costs,384747
2022,1,3,IT Expenses,163598
2022,1,3,Marketing,133585
2022,1,3,Office Costs,250172
2022,1,3,Depreciation,310539
2022,1,3,Professional Services,130814
2022,1,4,Gross Written Premium,379743
2022,1,4,Net Earned Premium,30939
2022,1,4,Reinsurance Recoveries,158939
2022,1,4,Investment Income,267347
2022,1,4,Commission Income,296207
2022,1,4,Claims Paid,95880
2022,1,4,Claims Incurred,8748
2022,1,4,Loss Adjustment Expenses,241094
2022,1,4,Staff Costs,384413
2022,1,4,IT Expenses,347908
2022,1,4,Marketing,156956
2022,1,4,Office Costs,161255
2022,1,4,Depreciation,375180
2022,1,4,Professional Services,155331
2022,1,5,Gross Written Premium,172031
2022,1,5,Net Earned Premium,383669
2022,1,5,Reinsurance Recoveries,352823
2022,1,5,Investment Income,130829
2022,1,5,Commission Income,133216
2022,1,5,Claims Paid,70901
2022,1,5,Claims Incurred,248386
2022,1,5,Loss Adjustment Expenses,180607
2022,1,5,Staff Costs,103046
2022,1,5,IT Expenses,357156
2022,1,5,Marketing,83278
2022,1,5,Office Costs,279535
2022,1,5,Depreciation,107476
2022,1,5,Professional Services,387865
2022,1,6,Gross Written Premium,102537
2022,1,6,Net Earned Premium,348303
2022,1,6,Reinsurance Recoveries,398184
2022,1,6,Investment Income,186429
2022,1,6,Commission Income,222980
2022,1,6,Claims Paid,302647
2022,1,6,Claims Incurred,80403
2022,1,6,Loss Adjustment Expenses,69286
2022,1,6,Staff Costs,341986
2022,1,6,IT Expenses,109927
2022,1,6,Marketing,282052
2022,1,6,Office Costs,304372
2022,1,6,Depreciation,28386
2022,1,6,Professional Services,182826
2022,1,7,Gross Written Premium,295446
2022,1,7,Net Earned Premium,327959
2022,1,7,Reinsurance Recoveries,257156
2022,1,7,Investment Income,330488
2022,1,7,Commission Income,378747
2022,1,7,Claims Paid,328258
2022,1,7,Claims Incurred,253724
2022,1,7,Loss Adjustment Expenses,206202
2022,1,7,Staff Costs,30525
2022,1,7,IT Expenses,84818
2022,1,7,Marketing,119589
2022,1,7,Office Costs,150406
2022,1,7,Depreciation,99715
2022,1,7,Professional Services,198839
2022,1,8,Gross Written Premium,273788
2022,1,8,Net Earned Premium,368298
2022,1,8,Reinsurance Recoveries,262438
2022,1,8,Investment Income,310613
2022,1,8,Commission Income,373753
2022,1,8,Claims Paid,332350
2022,1,8,Claims Incurred,363606
2022,1,8,Loss Adjustment Expenses,172679
2022,1,8,Staff Costs,88178
2022,1,8,IT Expenses,180458
2022,1,8,Marketing,259466
2022,1,8,Office Costs,91724
2022,1,8,Depreciation,234204
2022,1,8,Professional Services,101393
2022,1,9,Gross Written Premium,394458
2022,1,9,Net Earned Premium,81312
2022,1,9,Reinsurance Recoveries,342468
2022,1,9,Investment Income,76196
2022,1,9,Commission Income,75014
2022,1,9,Claims Paid,146994
2022,1,9,Claims Incurred,38340
2022,1,9,Loss Adjustment Expenses,306994
2022,1,9,Staff Costs,118711
2022,1,9,IT Expenses,220250
2022,1,9,Marketing,16094
2022,1,9,Office Costs,355103
2022,1,9,Depreciation,272885
2022,1,9,Professional Services,116585
2022,1,10,Gross Written Premium,389708
2022,1,10,Net Earned Premium,73798
2022,1,10,Reinsurance Recoveries,383170
2022,1,10,Investment Income,206604
2022,1,10,Commission Income,115130
2022,1,10,Claims Paid,289308
2022,1,10,Claims Incurred,171667
2022,1,10,Loss Adjustment Expenses,35257
2022,1,10,Staff Costs,363133
2022,1,10,IT Expenses,57691
2022,1,10,Marketing,84768
2022,1,10,Office Costs,19026
2022,1,10,Depreciation,230162
2022,1,10,Professional Services,298052
2022,2,1,Gross Written Premium,24610
2022,2,1,Net Earned Premium,182718
2022,2,1,Reinsurance Recoveries,330329
2022,2,1,Investment Income,339711
2022,2,1,Commission Income,183646
2022,2,1,Claims Paid,227123
2022,2,1,Claims Incurred,303326
2022,2,1,Loss Adjustment Expenses,383280
2022,2,1,Staff Costs,398786
2022,2,1,IT Expenses,24288
2022,2,1,Marketing,345968
2022,2,1,Office Costs,89425
2022,2,1,Depreciation,5917
2022,2,1,Professional Services,342746
2022,2,2,Gross Written Premium,331719
2022,2,2,Net Earned Premium,339662
2022,2,2,Reinsurance Recoveries,258187
2022,2,2,Investment Income,44104
2022,2,2,Commission Income,154134
2022,2,2,Claims Paid,284143
2022,2,2,Claims Incurred,267091
2022,2,2,Loss Adjustment Expenses,66169
2022,2,2,Staff Costs,159542
2022,2,2,IT Expenses,134744
2022,2,2,Marketing,377828
2022,2,2,Office Costs,64821
2022,2,2,Depreciation,222741
2022,2,2,Professional Services,254265
2022,2,3,Gross Written Premium,219127
2022,2,3,Net Earned Premium,279336
2022,2,3,Reinsurance Recoveries,341246
2022,2,3,Investment Income,208834
2022,2,3,Commission Income,239538
2022,2,3,Claims Paid,382038
2022,2,3,Claims Incurred,91795
2022,2,3,Loss Adjustment Expenses,170159
2022,2,3,Staff Costs,333821
2022,2,3,IT Expenses,140699
2022,2,3,Marketing,248877
2022,2,3,Office Costs,204298
2022,2,3,Depreciation,193505
2022,2,3,Professional Services,141285
2022,2,4,Gross Written Premium,107412
2022,2,4,Net Earned Premium,24404
2022,2,4,Reinsurance Recoveries,121545
2022,2,4,Investment Income,227128
2022,2,4,Commission Income,155245
2022,2,4,Claims Paid,189099
2022,2,4,Claims Incurred,291133
2022,2,4,Loss Adjustment Expenses,266657
2022,2,4,Staff Costs,375250
2022,2,4,IT Expenses,291663
2022,2,4,Marketing,261875
2022,2,4,Office Costs,289583
2022,2,4,Depreciation,385714
2022,2,4,Professional Services,19995
2022,2,5,Gross Written Premium,28559
2022,2,5,Net Earned Premium,356193
2022,2,5,Reinsurance Recoveries,103000
2022,2,5,Investment Income,157191
2022,2,5,Commission Income,306494
2022,2,5,Claims Paid,30517
2022,2,5,Claims Incurred,220558
2022,2,5,Loss Adjustment Expenses,356276
2022,2,5,Staff Costs,326690
2022,2,5,IT Expenses,110686
2022,2,5,Marketing,93151
2022,2,5,Office Costs,270471
2022,2,5,Depreciation,125318
2022,2,5,Professional Services,200490
2022,2,6,Gross Written Premium,178860
2022,2,6,Net Earned Premium,120945
2022,2,6,Reinsurance Recoveries,218456
2022,2,6,Investment Income,313974
2022,2,6,Commission Income,57446
2022,2,6,Claims Paid,192655
2022,2,6,Claims Incurred,145148
2022,2,6,Loss Adjustment Expenses,74341
2022,2,6,Staff Costs,36085
2022,2,6,IT Expenses,322715
2022,2,6,Marketing,395452
2022,2,6,Office Costs,10750
2022,2,6,Depreciation,381075
2022,2,6,Professional Services,345912
2022,2,7,Gross Written Premium,40903
2022,2,7,Net Earned Premium,208561
2022,2,7,Reinsurance Recoveries,96036
2022,2,7,Investment Income,92954
2022,2,7,Commission Income,350158
2022,2,7,Claims Paid,122305
2022,2,7,Claims Incurred,205753
2022,2,7,Loss Adjustment Expenses,37101
2022,2,7,Staff Costs,7775
2022,2,7,IT Expenses,116497
2022,2,7,Marketing,50619
2022,2,7,Office Costs,257388
2022,2,7,Depreciation,238346
2022,2,7,Professional Services,324268
2022,2,8,Gross Written Premium,70149
2022,2,8,Net Earned Premium,31616
2022,2,8,Reinsurance Recoveries,226767
2022,2,8,Investment Income,190639
2022,2,8,Commission Income,173171
2022,2,8,Claims Paid,211903
2022,2,8,Claims Incurred,236318
2022,2,8,Loss Adjustment Expenses,328943
2022,2,8,Staff Costs,357365
2022,2,8,IT Expenses,382023
2022,2,8,Marketing,292623
2022,2,8,Office Costs,366309
2022,2,8,Depreciation,60863
2022,2,8,Professional Services,178115
2022,2,9,Gross Written Premium,349713
2022,2,9,Net Earned Premium,258347
2022,2,9,Reinsurance Recoveries,194052
2022,2,9,Investment Income,283495
2022,2,9,Commission Income,140203
2022,2,9,Claims Paid,252908
2022,2,9,Claims Incurred,311969
2022,2,9,Loss Adjustment Expenses,278493
2022,2,9,Staff Costs,197003
2022,2,9,IT Expenses,311398
2022,2,9,Marketing,305369
2022,2,9,Office Costs,279597
2022,2,9,Depreciation,154886
2022,2,9,Professional Services,154335
2022,2,10,Gross Written Premium,82694
2022,2,10,Net Earned Premium,20735
2022,2,10,Reinsurance Recoveries,315037
2022,2,10,Investment Income,180745
2022,2,10,Commission Income,394150
2022,2,10,Claims Paid,225534
2022,2,10,Claims Incurred,50066
2022,2,10,Loss Adjustment Expenses,236387
2022,2,10,Staff Costs,139445
2022,2,10,IT Expenses,277836
2022,2,10,Marketing,50541
2022,2,10,Office Costs,170129
2022,2,10,Depreciation,71983
2022,2,10,Professional Services,155655
2022,3,1,Gross Written Premium,158837
2022,3,1,Net Earned Premium,195359
2022,3,1,Reinsurance Recoveries,387891
2022,3,1,Investment Income,352247
2022,3,1,Commission Income,215747
2022,3,1,Claims Paid,182597
2022,3,1,Claims Incurred,174302
2022,3,1,Loss Adjustment Expenses,292710
2022,3,1,Staff Costs,340337
2022,3,1,IT Expenses,257084
2022,3,1,Marketing,126015
2022,3,1,Office Costs,177257
2022,3,1,Depreciation,251536
2022,3,1,Professional Services,229021
2022,3,2,Gross Written Premium,135956
2022,3,2,Net Earned Premium,75744
2022,3,2,Reinsurance Recoveries,300599
2022,3,2,Investment Income,321363
2022,3,2,Commission Income,313135
2022,3,2,Claims Paid,78616
2022,3,2,Claims Incurred,92438
2022,3,2,Loss Adjustment Expenses,121841
2022,3,2,Staff Costs,145558
2022,3,2,IT Expenses,174934
2022,3,2,Marketing,257734
2022,3,2,Office Costs,63870
2022,3,2,Depreciation,91694
2022,3,2,Professional Services,242068
2022,3,3,Gross Written Premium,311000
2022,3,3,Net Earned Premium,106407
2022,3,3,Reinsurance Recoveries,36379
2022,3,3,Investment Income,331873
2022,3,3,Commission Income,241500
2022,3,3,Claims Paid,59353
2022,3,3,Claims Incurred,186068
2022,3,3,Loss Adjustment Expenses,281175
2022,3,3,Staff Costs,216144
2022,3,3,IT Expenses,70982
2022,3,3,Marketing,41683
2022,3,3,Office Costs,119091
2022,3,3,Depreciation,122797
2022,3,3,Professional Services,11587
2022,3,4,Gross Written Premium,329934
2022,3,4,Net Earned Premium,298624
2022,3,4,Reinsurance Recoveries,234602
2022,3,4,Investment Income,156599
2022,3,4,Commission Income,290713
2022,3,4,Claims Paid,278295
2022,3,4,Claims Incurred,195246
2022,3,4,Loss Adjustment Expenses,49739
2022,3,4,Staff Costs,37954
2022,3,4,IT Expenses,248935
2022,3,4,Marketing,114373
2022,3,4,Office Costs,39700
2022,3,4,Depreciation,128728
2022,3,4,Professional Services,333932
2022,3,5,Gross Written Premium,76045
2022,3,5,Net Earned Premium,149972
2022,3,5,Reinsurance Recoveries,395136
2022,3,5,Investment Income,347203
2022,3,5,Commission Income,6881
2022,3,5,Claims Paid,399846
2022,3,5,Claims Incurred,287933
2022,3,5,Loss Adjustment Expenses,393227
2022,3,5,Staff Costs,93059
2022,3,5,IT Expenses,219566
2022,3,5,Marketing,313295
2022,3,5,Office Costs,114388
2022,3,5,Depreciation,203303
2022,3,5,Professional Services,270406
2022,3,6,Gross Written Premium,334125
2022,3,6,Net Earned Premium,388095
2022,3,6,Reinsurance Recoveries,390243
2022,3,6,Investment Income,86972
2022,3,6,Commission Income,342629
2022,3,6,Claims Paid,59722
2022,3,6,Claims Incurred,356643
2022,3,6,Loss Adjustment Expenses,186890
2022,3,6,Staff Costs,274045
2022,3,6,IT Expenses,122473
2022,3,6,Marketing,275741
2022,3,6,Office Costs,396775
2022,3,6,Depreciation,331053
2022,3,6,Professional Services,339535
2022,3,7,Gross Written Premium,220286
2022,3,7,Net Earned Premium,330437
2022,3,7,Reinsurance Recoveries,248896
2022,3,7,Investment Income,161877
2022,3,7,Commission Income,16874
2022,3,7,Claims Paid,229137
2022,3,7,Claims Incurred,353546
2022,3,7,Loss Adjustment Expenses,281223
2022,3,7,Staff Costs,339923
2022,3,7,IT Expenses,100408
2022,3,7,Marketing,125606
2022,3,7,Office Costs,125062
2022,3,7,Depreciation,17100
2022,3,7,Professional Services,324165
2022,3,8,Gross Written Premium,155872
2022,3,8,Net Earned Premium,395270
2022,3,8,Reinsurance Recoveries,199472
2022,3,8,Investment Income,359590
2022,3,8,Commission Income,296581
2022,3,8,Claims Paid,239196
2022,3,8,Claims Incurred,212609
2022,3,8,Loss Adjustment Expenses,156014
2022,3,8,Staff Costs,288006
2022,3,8,IT Expenses,278813
2022,3,8,Marketing,388363
2022,3,8,Office Costs,189844
2022,3,8,Depreciation,283060
2022,3,8,Professional Services,278022
2022,3,9,Gross Written Premium,270129
2022,3,9,Net Earned Premium,209720
2022,3,9,Reinsurance Recoveries,46235
2022,3,9,Investment Income,286075
2022,3,9,Commission Income,97876
2022,3,9,Claims Paid,5336
2022,3,9,Claims Incurred,310077
2022,3,9,Loss Adjustment Expenses,312680
2022,3,9,Staff Costs,74504
2022,3,9,IT Expenses,104214
2022,3,9,Marketing,187220
2022,3,9,Office Costs,118936
2022,3,9,Depreciation,21279
2022,3,9,Professional Services,204737
2022,3,10,Gross Written Premium,108751
2022,3,10,Net Earned Premium,371577
2022,3,10,Reinsurance Recoveries,76386
2022,3,10,Investment Income,91124
2022,3,10,Commission Income,372894
2022,3,10,Claims Paid,344629
2022,3,10,Claims Incurred,341199
2022,3,10,Loss Adjustment Expenses,96911
2022,3,10,Staff Costs,365762
2022,3,10,IT Expenses,202742
2022,3,10,Marketing,226094
2022,3,10,Office Costs,381036
2022,3,10,Depreciation,242723
2022,3,10,Professional Services,338272
2022,4,1,Gross Written Premium,319639
2022,4,1,Net Earned Premium,87806
2022,4,1,Reinsurance Recoveries,360329
2022,4,1,Investment Income,212605
2022,4,1,Commission Income,235097
