Date,DepartmentID,Account,Category,Amount
2022-01-01,1,Gross Written Premium,Income,131958
2022-01-01,1,Net Earned Premium,Income,156867
2022-01-01,1,Reinsurance Recoveries,Income,141932
2022-01-01,1,Investment Income,Income,375838
2022-01-01,1,Commission Income,Income,269178
2022-01-01,1,Claims Paid,Claims,124879
2022-01-01,1,Claims Incurred,Claims,115268
2022-01-01,1,Loss Adjustment Expenses,Claims,212892
2022-01-01,1,Staff Costs,Expense,55886
2022-01-01,1,IT Expenses,Expense,7265
2022-01-01,1,Marketing,Expense,83386
2022-01-01,1,Office Costs,Expense,38194
2022-01-01,1,Depreciation,Expense,88498
2022-01-01,1,Professional Services,Expense,45131
2022-01-01,2,Gross Written Premium,Income,201335
2022-01-01,2,Net Earned Premium,Income,288167
2022-01-01,2,Reinsurance Recoveries,Income,51090
2022-01-01,2,Investment Income,Income,339365
2022-01-01,2,Commission Income,Income,74820
2022-01-01,2,Claims Paid,Claims,267913
2022-01-01,2,Claims Incurred,Claims,199027
2022-01-01,2,Loss Adjustment Expenses,Claims,257709
2022-01-01,2,Staff Costs,Expense,68969
2022-01-01,2,IT Expenses,Expense,6311
2022-01-01,2,Marketing,Expense,84104
2022-01-01,2,Office Costs,Expense,54707
2022-01-01,2,Depreciation,Expense,86305
2022-01-01,2,Professional Services,Expense,29693
2022-01-01,3,Gross Written Premium,Income,475148
2022-01-01,3,Net Earned Premium,Income,268795
2022-01-01,3,Reinsurance Recoveries,Income,496232
2022-01-01,3,Investment Income,Income,402752
2022-01-01,3,Commission Income,Income,166730
2022-01-01,3,Claims Paid,Claims,154503
2022-01-01,3,Claims Incurred,Claims,135523
2022-01-01,3,Loss Adjustment Expenses,Claims,7747
2022-01-01,3,Staff Costs,Expense,60150
2022-01-01,3,IT Expenses,Expense,66725
2022-01-01,3,Marketing,Expense,85654
2022-01-01,3,Office Costs,Expense,36773
2022-01-01,3,Depreciation,Expense,68435
2022-01-01,3,Professional Services,Expense,57886
2022-01-01,4,Gross Written Premium,Income,338947
2022-01-01,4,Net Earned Premium,Income,41551
2022-01-01,4,Reinsurance Recoveries,Income,388360
2022-01-01,4,Investment Income,Income,283538
2022-01-01,4,Commission Income,Income,341236
2022-01-01,4,Claims Paid,Claims,8890
2022-01-01,4,Claims Incurred,Claims,46606
2022-01-01,4,Loss Adjustment Expenses,Claims,261840
2022-01-01,4,Staff Costs,Expense,81038
2022-01-01,4,IT Expenses,Expense,88313
2022-01-01,4,Marketing,Expense,11627
2022-01-01,4,Office Costs,Expense,9792
2022-01-01,4,Depreciation,Expense,74969
2022-01-01,4,Professional Services,Expense,44001
2022-01-01,5,Gross Written Premium,Income,217624
2022-01-01,5,Net Earned Premium,Income,427113
2022-01-01,5,Reinsurance Recoveries,Income,78148
2022-01-01,5,Investment Income,Income,262801
2022-01-01,5,Commission Income,Income,134243
2022-01-01,5,Claims Paid,Claims,256995
2022-01-01,5,Claims Incurred,Claims,159555
2022-01-01,5,Loss Adjustment Expenses,Claims,53555
2022-01-01,5,Staff Costs,Expense,18159
2022-01-01,5,IT Expenses,Expense,81077
2022-01-01,5,Marketing,Expense,36920
2022-01-01,5,Office Costs,Expense,93067
2022-01-01,5,Depreciation,Expense,68121
2022-01-01,5,Professional Services,Expense,70479
2022-01-01,6,Gross Written Premium,Income,492691
2022-01-01,6,Net Earned Premium,Income,291601
2022-01-01,6,Reinsurance Recoveries,Income,469773
